title,date,category,name,leaning
Proteste gegen Waffengewalt in den USA,3-25-18,Public opinion,,Neutral
Schüler-Proteste gegen Waffengewalt in den USA,3-14-18,Public opinion,,Neutral
Schüler in den USA demonstrieren für schärferes Waffenrecht,2-22-18,Public opinion,,Neutral
USA: Massendemonstration für schärferes Waffenrecht USA: Massendemonstration für schärferes Waffenrecht,3-24-18,Gun control/regulation,,Neutral
Hunderttausende demonstrieren in den USA gegen die Waffengewalt,3-24-18,Public opinion,,Neutral
Trump rudert bei Waffengesetzen zurück,3-12-18,Politics,,Neutral
Massenprotest gegen Waffengewalt bewegt USA,3-25-18,Public opinion,,Neutral
Vater von Amoklauf-Opfer stellt Trump die entscheidende Frage,2-22-18,Politics,,Neutral
Treffen mit Überlebenden des Parkland-Schulmassakers Trump will Waffengewalt mit Waffen bekämpfen,2-22-18,Politics,,Neutral
USA: Hunderttausende zu Protesten gegen Waffengewalt erwartet,3-24-18,Public opinion,,Neutral
Emotionaler Protest gegen Waffengewalt in den USA - Panorama - HARZ KURIER,3-14-18,Public opinion,,Neutral
"Treffen mit Opfern des Amoklaufs : Trumps Notizzettel zeigt, was für ein Mensch er ist Außerdem präsentierte der Präsident eine krude Lösung für das Waffenproblem.",2-22-18,Politics,,Neutral
Massenprotest gegen Waffengewalt bewegt USA,3-25-18,Public opinion,,Neutral
«Genug ist genug» - Massenprotest in den USA gegen Waffengewalt,3-25-18,Public opinion,,Neutral
USA: Millionen fordern strengeres Waffengesetz,3-26-18,Economic consequences,,Neutral
Kontrollen der gewalthaltigen Spiele der Videospiel-Entwickler an. Den Worten sollen nun Taten folgen. Donald Trump: prüft nach Amoklauf in Florida das Gewaltpotential in Videospielen Der Amoklauf vom 14. Februar,3-8-18,Politics,,Neutral
Schüler in den USA demonstrieren für schärferes Waffenrecht,2-21-18,Public opinion,,Neutral
Kriminalität Schulen Gesellschaft Waffen Demonstrationen USA: Schüler in Florida demonstrieren für schärferes Waffenrecht,2-21-18,Public opinion,,Neutral
Diskussion um Waffengesetze in den USA,2-19-18,Gun control/regulation,,Neutral
Massenprotest gegen Waffengewalt in den USA,3-24-18,Public opinion,,Neutral
Hunderttausende marschieren gegen Waffengewalt in den USA,3-25-18,Public opinion,,Neutral
Protest in den USA Schüler streiken für schärfere Waffengesetze,4-21-18,Public opinion,,Neutral
Trump zu kleineren Korrekturen des Waffenrechts bereit,2-20-18,Politics,,Neutral
«Genug ist genug» - Massenprotest in den USA gegen Waffengewalt,3-25-18,Public opinion,,Neutral
"Nach ""March for Our Lives"" Emotionale Debatte über Waffengesetze in den USA",3-26-18,2nd Amendment,,Neutral
Trump rückt von Forderung nach schärferem Waffenrecht ab,3-12-18,Politics,,Neutral
Hunderttausende protestieren in den USA gegen Waffengewalt,3-25-18,Public opinion,,Neutral
„Genug ist genug' - Massenprotest in den USA gegen Waffengewalt,3-24-18,Public opinion,,Neutral
20:27 Uhr Massenprotest in USA gegen Waffengewalt: „Genug ist genug',3-25-18,Public opinion,,Neutral
Vermischtes Massenprotest in USA gegen Waffengewalt: «Genug ist genug»,3-25-18,Public opinion,,Neutral
“Viele Ideen“ Kein schärferes Waffenrecht: So will Trump stattdessen Schüsse an Schulen verhindern,2-22-18,School/Public space safety,,Neutral
Demonstrationen &#034;Erst der Anfang&#034;: Protest gegen Waffengewalt in USA,3-24-18,Public opinion,,Neutral
Trump rückt von Forderung nach schärferem Waffenrecht ab,3-13-18,Politics,,Neutral
Hunderttausende protestieren in den USA gegen Waffengewalt,3-25-18,Public opinion,,Neutral
Weltgeschichte :  Elternabend in den USA – oder wie überleben meine Kinder einen Amoklauf?,3-16-18,School/Public space safety,,Neutral
Nach Schulmassaker in Florida: Trump zeigt sich offen für strengere Waffengesetze,2-21-18,Politics,,Neutral
: Massenprotest gegen Waffengewalt bewegt USA,3-25-18,Public opinion,,Neutral
Massenprotest gegen Waffengewalt bewegt USA,3-25-18,Public opinion,,Neutral
Massenprotest gegen Waffengewalt bewegt USA,3-25-18,Public opinion,,Neutral
Massenprotest gegen Waffengewalt bewegt Amerika,3-25-18,Public opinion,,Neutral
Schüler in den USA demonstrieren für schärferes Waffenrecht,2-22-18,Public opinion,,Neutral
Politik Trump distanziert sich von US-Waffenlobby NRA Washington (dpa) - Mit einer politischen 180-Grad-Wende will US-Präsident Donald Trump eine Verschärfung der Waffengesetze in den USA vorantreiben.,3-2-18,Politics,,Neutral
USA Überlebende des Schul-Massakers fordern schärfere Waffengesetze,2-22-18,School/Public space safety,,Neutral
Massenprotest in den USA gegen Waffengewalt,3-25-18,Public opinion,,Neutral
USA - Streiks an High Schools wegen Waffengewalt,4-24-18,School/Public space safety,,Neutral
Einlenken nach Florida-Massaker: Trump zu Korrekturen des Waffenrechts bereit,2-21-18,Politics,,Neutral
Schï¿½ler in den USA demonstrieren fï¿½r schï¿½rferes Waffenrecht - Panorama - HARZ KURIER,2-21-18,2nd Amendment,,Neutral
Sch&#252;ler in den USA demonstrieren f&#252;r sch&#228;rferes Waffenrecht,2-21-18,2nd Amendment,,Neutral
Emotionaler Protest gegen Waffengewalt in den USA,3-15-18,Public opinion,,Neutral
ROUNDUP: Trump will Waffenrecht verschärfen,3-1-18,Politics,,Neutral
Trump rückt von Forderung nach schärferem Waffenrecht ab | inSüdthüringen.de,3-12-18,Politics,,Neutral
USA: Debatte um Waffengesetze trifft einige Fahrradzubehör-Marken hart,3-2-18,Economic consequences,,Neutral
Nach Amoklauf in den USA Schüler demonstrieren für schärfere Waffengesetze,3-16-18,Public opinion,,Neutral
Trump zu kleineren Korrekturen des Waffenrechts bereit,2-21-18,Politics,,Neutral
Trump will Waffengewalt mit Waffen bekämpfen,2-22-18,Politics,,Neutral
Politik: Schüler in den USA demonstrieren für schärferes Waffenrecht,2-21-18,Public opinion,,Neutral
Hunderttausende demonstrieren in den USA gegen die Waffengewalt,3-24-18,Public opinion,,Neutral
Tallahassee - Überlebende des Schulmassakers mit 17 Toten in Florida haben in der Hauptstadt des Bundesstaates für eine Verschärfung des Waffenrechts in den USA demonstriert.,2-21-18,Gun control/regulation,,Neutral
– Schüler-Proteste gegen Waffengewalt in den USA,3-14-18,Public opinion,,Neutral
Massenprotest gegen Waffengewalt bewegt USA,3-25-18,Public opinion,,Neutral
Trump rückt von Forderung nach schärferem Waffenrecht ab Washington (dpa) - US-Präsident Donald Trump ist in der Diskussion um eine Verschärfung der Waffenge…,3-13-18,Politics,,Neutral
Hunderttausende demonstrieren in den USA gegen die Waffengewalt,3-24-18,Public opinion,,Neutral
USA vs. NRA: Trump rudert bei schärferen Waffengesetzen zurück,3-12-18,Politics,,Neutral
Das junge Amerika geht gegen Waffengewalt an Schulen auf die Strasse,3-25-18,School/Public space safety,,Neutral
ROUNDUP Trump will Waffenrecht verschärfen,3-1-18,Politics,,Neutral
Massenprotest gegen Waffengewalt in den USA,3-24-18,Public opinion,,Neutral
Massenprotest in USA gegen Waffengewalt: „Genug ist genug“,3-24-18,Public opinion,,Neutral
Hunderttausende demonstrieren in den USA gegen die Waffengewalt,3-24-18,Public opinion,,Neutral
Protest gegen Waffengewalt: Berlin zeigt sich mit Demonstranten in den USA solidarisch,3-24-18,Public opinion,,Neutral
"Der Protest gegen die laschen Waffengesetze in den USA wächst. Auch vor dem Weißen Haus machen Jugendliche ihrem Unmut Luft - und Promis unterstützen sie. Donald Trump signalisiert, er würde minimale Änderungen akzeptieren. 1 Bilder Video",2-20-18,Politics,,Neutral
Trump offen für besseres Waffenrecht,2-19-18,Politics,,Neutral
Schüler in den USA demonstrieren für schärferes Waffenrecht,2-21-18,Public opinion,,Neutral
Massenprotest gegen Waffengewalt in den USA – und Solidarität weltweit,3-24-18,Public opinion,,Neutral
Tausende demonstrieren am Columbine-Jahrestag in USA gegen Waffengewalt,4-24-18,Public opinion,,Neutral
Emotionaler Protest gegen Waffengewalt in den USA,3-14-18,Public opinion,,Neutral
"Massenprotest in USA gegen Waffengewalt: ""Genug ist genug"" | Deutschland & Welt",3-25-18,Public opinion,,Neutral
Massenprotest in USA gegen Waffengewalt: «Genug ist genug» - Panorama - Nachrichten aus aller Welt - Ludwigsburger Kreiszeitung,3-24-18,Public opinion,,Neutral
Nach Schulmassaker in Parkland Massenproteste gegen Waffengewalt in den USA,3-25-18,Public opinion,,Neutral
Einlenken nach Florida-Massaker: Trump zu Korrekturen des Waffenrechts bereit,2-21-18,Politics,,Neutral
23:02 Treffen mit Trump : Schüler in den USA demonstrieren für schärferes Waffenrecht dpa,2-22-18,Politics,,Neutral
Emotionaler Protest gegen Waffengewalt in den USA | inSüdthüringen.de,3-15-18,Public opinion,,Neutral
Protest gegen Waffengewalt: Berlin zeigt sich mit Demonstranten in den USA solidarisch,3-24-18,Public opinion,,Neutral
Vater von Amoklauf-Opfer stellt Trump die entscheidende Frage,2-22-18,Politics,,Neutral
Politik: Schüler in den USA demonstrieren für schärferes Waffenrecht,2-22-18,Public opinion,,Neutral
Massenprotest gegen Waffengewalt bewegt USA,3-25-18,Public opinion,,Neutral
Trump rückt von Forderung nach schärferem Waffenrecht ab | Frankenpost,3-13-18,Politics,,Neutral
Seit Al Capone - Debatte um Waffenrecht in USA tritt auf der Stelle,3-18-18,2nd Amendment,,Neutral
Hunderttausende protestieren: Massenprotest gegen Waffengewalt bewegt Amerika,3-25-18,Public opinion,,Neutral
Schüler in den USA demonstrieren für schärferes Waffenrecht,2-22-18,Public opinion,,Neutral
Schüler-Proteste gegen Waffengewalt in den USA :  Kinder der Demokratie,4-1-18,Public opinion,,Neutral
Schüler in den USA demonstrieren für schärferes Waffenrecht,2-21-18,Public opinion,,Neutral
„Genug ist genug' - Massenprotest in den USA gegen Waffengewalt,3-24-18,Public opinion,,Neutral
"Treffen mit Opfern des Amoklaufs: Trumps Notizzettel zeigt, was für ein Mensch er ist",2-22-18,Politics,,Neutral
22:59 Uhr Schüler in den USA demonstrieren für schärferes Waffenrecht,2-22-18,Public opinion,,Neutral
Hunderttausende demonstrieren in den USA für ein schärferes Waffenrecht - Nachrichten - Deutschland Today,3-24-18,Public opinion,,Neutral
Massenprotest in USA gegen Waffengewalt: «Genug ist genug»,3-24-18,Public opinion,,Neutral
Schüler in den USA demonstrieren für schärferes Waffenrecht,2-22-18,Public opinion,,Neutral
Nach Amoklauf an Schule: Trump nimmt Videospiele ins Visier,3-9-18,Politics,,Neutral
Einlenken nach Florida-Massaker: Trump zu Korrekturen des Waffenrechts bereit,2-21-18,Politics,,Neutral
Massenprotest in USA gegen Waffengewalt: «Genug ist genug» | Frankenpost,3-25-18,Public opinion,,Neutral
Emotionaler Protest gegen Waffengewalt in den USA,3-14-18,Public opinion,,Neutral
Einlenken nach Florida-Massaker: Trump zu Korrekturen des Waffenrechts bereit,2-21-18,Politics,,Neutral
Massenproteste für schärfere Waffengesetze in den USA,3-25-18,Gun control/regulation,,Neutral
US-Waffengesetze :  Schule von Barron Trump stellt sich gegen Bewaffnung von Lehrern,3-15-18,School/Public space safety,,Neutral
Schüler in den USA demonstrieren für schärferes Waffenrecht,2-21-18,Public opinion,,Neutral
Massenprotest gegen Waffengewalt bewegt Amerika,3-25-18,Public opinion,,Neutral
Einlenken nach Florida-Massaker: Trump zu Korrekturen des Waffenrechts bereit,2-21-18,Politics,,Neutral
Schüler in den USA demonstrieren für schärferes Waffenrecht,2-21-18,Public opinion,,Neutral
ROUNDUP: Trump will Waffenrecht verschärfen,3-1-18,Politics,,Neutral
Massenprotest in USA gegen Waffengewalt: «Genug ist genug»,3-24-18,Public opinion,,Neutral
Kein sch&#228;rferes Waffenrecht: So will Trump stattdessen Sch&#252;sse an Schulen verhindern,2-23-18,School/Public space safety,,Neutral
Schüler in den USA demonstrieren für schärferes Waffenrecht,2-22-18,Public opinion,,Neutral
Schüler in den USA demonstrieren für schärferes Waffenrecht,2-21-18,Public opinion,,Neutral
Hunderttausende protestieren in den USA gegen Waffengewalt,3-25-18,Public opinion,,Neutral
Brennpunkt Trump will Schnellschuss-Vorrichtungen verbieten lassen Der Protest gegen die laschen Waffengesetze in den USA wächst. Auch vor dem Weißen Haus machen Jugendliche ihrem Unmut Luft - und Promis unterstützen sie. Donald Trump will nun ...,2-20-18,Politics,,Neutral
Massenprotest gegen Waffengewalt bewegt USA,3-25-18,Public opinion,,Neutral
Hunderttausende demonstrieren in den USA gegen die Waffengewalt,3-24-18,Public opinion,,Neutral
Kein schärferes Waffenrecht: So will Trump stattdessen Schüsse an Schulen verhindern,2-22-18,School/Public space safety,,Neutral
Massenprotest in USA gegen Waffengewalt: «Genug ist genug»,3-24-18,Public opinion,,Neutral
Massenprotest gegen Waffengewalt bewegt USA | Top-Themen | Deutschland & Welt | DIE HARKE,3-25-18,Public opinion,,Neutral
Massenprotest gegen Waffengewalt bewegt USA,3-25-18,Public opinion,,Neutral
Massenprotest in USA gegen Waffengewalt: «Genug ist genug» | inSüdthüringen.de,3-24-18,Public opinion,,Neutral
Nach Schul-Amoklauf: Trump fordert Rating-System für Videospiele,2-23-18,Politics,,Neutral
MARCH FOR OUR LIVES : Amerikas Schüler im Kampf gegen Waffengewalt,3-25-18,Public opinion,,Neutral
"Halle - Während die Generation ihrer Eltern vor der täglichen Waffengewalt in den USA kapitulierte, hat die Jugend eine beispiellose Protestwelle angestoßen.",3-25-18,Public opinion,,Neutral
USA: Streiks an US-High-Schools wegen Waffengewalt,4-24-18,School/Public space safety,,Neutral
Massenproteste für schärfere Waffengesetze in den USA,3-26-18,Gun control/regulation,,Neutral
Foto: Reuters 103 Postings Game Politics Nach Amoklauf an Schule: Trump nimmt Videospiele ins Visier Verfechter strengerer Regeln und Vertreter der Industrie trafen sich im Wei&#223;en Haus. Kritiker sehen ein Ablenkungsman&#246;ver,3-9-18,Politics,,Neutral
Massenprotest gegen Waffengewalt bewegt USA,3-25-18,Public opinion,,Neutral
Massenprotest gegen Waffengewalt bewegt Amerika,3-25-18,Public opinion,,Neutral
Trump zu kleineren Korrekturen des Waffenrechts bereit,2-20-18,Politics,,Neutral
Hunderttausende demonstrieren in den USA gegen die Waffengewalt,3-24-18,Public opinion,,Neutral
&lt; Emotionaler Protest gegen Waffengewalt in den USA,3-15-18,Public opinion,,Neutral
Hunderttausende protestieren in den USA gegen Waffengewalt,3-25-18,Public opinion,,Neutral
Demos gegen Waffengewalt - Emotionaler Protest: In den USA standen heute die Schulen 17 Minuten still,3-14-18,Public opinion,,Neutral
"Melania Trump: Unterstützung für Schüler, die strengere Waffengesetzte fordern - SPIEGEL ONLINE",2-27-18,Politics,,Neutral
Schüler in den USA demonstrieren für schärferes Waffenrecht,2-21-18,Public opinion,,Neutral
Hunderttausende demonstrieren in den USA gegen die Waffengewalt,3-24-18,Public opinion,,Neutral
Treffen mit Trump: Schüler in den USA demonstrieren für schärferes Waffenrecht,2-23-18,Politics,,Neutral
Waffengesetz in Amerika erklärt?,4-7-18,Gun control/regulation,,Neutral
"Schüler demonstrieren für schärferes Waffenrecht, USA",2-22-18,Public opinion,,Neutral
Audio USA: Warum sich ein schärferes Waffenrecht so schwer durchsetzen lässt?,2-23-18,2nd Amendment,,Neutral
Massenprotest in USA gegen Waffengewalt: «Genug ist genug»,3-24-18,Public opinion,,Neutral
Kein schärferes Waffenrecht: So will Trump stattdessen Schüsse an Schulen verhindern,2-22-18,School/Public space safety,,Neutral
Brennpunkte Massenprotest gegen Waffengewalt bewegt USA,3-25-18,Public opinion,,Neutral
Waffengewalt: Hunderttausende demonstrieren in den USA,3-24-18,Public opinion,,Neutral
Trump rückt von Forderung nach schärferem Waffenrecht ab,3-13-18,Politics,,Neutral
Trump schlägt nach Amoklauf Bewaffnung von Lehrern vor,2-22-18,School/Public space safety,,Neutral
Regierung Schulen Kriminalität Waffen USA: Trump rückt von Forderung nach schärferem Waffenrecht ab,3-12-18,Politics,,Neutral
Einlenken nach Florida-Massaker: Trump zu Korrekturen des Waffenrechts bereit,2-21-18,Politics,,Neutral
Waffengesetze Schulmassaker: Haben die USA die Kraft zur Besinnung?,4-12-18,Gun control/regulation,,Neutral
USA Landesweite Schülerproteste gegen Waffengewalt,4-25-18,Public opinion,,Neutral
Schüler in den USA demonstrieren für schärferes Waffenrecht,2-21-18,Public opinion,,Neutral
ROUNDUP: Trump will Waffenrecht verschärfen,3-1-18,Politics,,Neutral
Massenprotest in USA gegen Waffengewalt: «Genug ist genug» | Haller Kreisblatt - Politik,3-25-18,Public opinion,,Neutral
"Massenprotest in USA gegen Waffengewalt: ""Genug ist genug"" | Welt",3-24-18,Public opinion,,Neutral
Meldungen: «Genug ist genug» - Massenprotest in den USA gegen Waffengewalt,3-24-18,Public opinion,,Neutral
Hunderttausende protestieren in den USA gegen Waffengewalt,3-25-18,Public opinion,,Neutral
Massenprotest gegen Waffengewalt in den USA,3-24-18,Public opinion,,Neutral
Kommentar zu US-Waffengesetzen: Präsident Trump liefert erneut keine belastbare Ideen,2-27-18,Politics,,Neutral
Emotionaler Protest gegen Waffengewalt in den USA,3-15-18,Public opinion,,Neutral
Taylor Swift für schärfere Waffengesetze in den USA,3-26-18,Gun control/regulation,,Neutral
Rund 100 demonstrieren gegen Waffengewalt in den USA,3-24-18,Public opinion,,Neutral
Schülerproteste in den USA gegen Schusswaffengewalt,3-14-18,Public opinion,,Neutral
Massenprotest gegen Waffengewalt bewegt USA,3-25-18,Public opinion,,Neutral
Massenprotest gegen Waffengewalt bewegt Amerika,3-25-18,Public opinion,,Neutral
Massenprotest gegen Waffengewalt in den USA: Die überlebenden Schüler des Massakers in Parkland geben ...,3-24-18,Public opinion,,Neutral
Radio-MK: Trump rückt von Forderung nach schärferem Waffenrecht ab,3-12-18,Politics,,Neutral
Update US-Präsident nach Parkland-Massaker :  Trump will Waffengewalt bekämpfen - mit noch mehr Waffen,2-22-18,Politics,,Neutral
Schülerproteste in den USA gegen Schusswaffengewalt,3-14-18,Public opinion,,Neutral
+++ US-Politik im News-Ticker +++ Trump rudert bei schärferen Waffengesetzen zurück,3-12-18,Politics,,Neutral
Massenprotest in USA gegen Waffengewalt: «Genug ist genug»,3-24-18,Public opinion,,Neutral
Massenprotest gegen Waffengewalt bewegt USA,3-25-18,Public opinion,,Neutral
Waffengewalt in Washington organisiert - es werden Hunderttausende Teilnehmer erwartet. Die Protestaktion mit dem Titel „Marsch für unsere Leben' könnte eine der größten in der jüngeren Geschichte der USA,3-24-18,Public opinion,,Neutral
"Amoklauf an US-Schule: Trumps ""Cowboy-Mentalität"": Bewaffnete Lehrer sollen Bonus erhalten",2-23-18,School/Public space safety,,Neutral
Schulen Waffen Kriminalität Prozesse USA: Emotionaler Protest gegen Waffengewalt in den USA,3-14-18,Public opinion,,Neutral
Massenprotest gegen Waffengewalt bewegt USA,3-25-18,Public opinion,,Neutral
"Massenprotest in USA gegen Waffengewalt: ""Genug ist genug""",3-24-18,Public opinion,,Neutral
Aktuell Ausland Trump rückt von Forderung nach schärferem Waffenrecht ab,3-13-18,Politics,,Neutral
Schüler-Proteste gegen Waffengewalt in den USA,3-14-18,Public opinion,,Neutral
Hunderttausende marschieren gegen Waffengewalt in den USA | inSüdthüringen.de,3-25-18,Public opinion,,Neutral
«Genug ist genug» - Massenprotest in den USA gegen Waffengewalt,3-25-18,Public opinion,,Neutral
Hunderttausende mobilisiert Massenprotest gegen Waffengewalt bewegt USA,3-26-18,Public opinion,,Neutral
Massenprotest gegen Waffengewalt bewegt USA,3-25-18,Public opinion,,Neutral
Vermischtes Massenprotest in USA gegen Waffengewalt: «Genug ist genug»,3-25-18,Public opinion,,Neutral
Jetzt doch Verschärfung der Waffengesetze USA wollen Schnellfeuer-Aufsätze verbieten,3-24-18,Gun control/regulation,,Neutral
Einlenken nach Florida-Massaker: Trump zu Korrekturen des Waffenrechts bereit,2-21-18,Politics,,Neutral
Massenprotest gegen Waffengewalt in den USA | Frankenpost,3-24-18,Public opinion,,Neutral
Massenprotest in USA gegen Waffengewalt: «Genug ist genug»,3-24-18,Public opinion,,Neutral
Donald Trumps Waffengesetz: Ein Beispiel an Australien nehmen Kommentare,2-24-18,Politics,,Neutral
Donald Trumps Spickzettel Was Trump den Überlebenden des Amoklaufs sagte,2-22-18,Politics,,Neutral
Hunderttausende protestieren in den USA gegen Waffengewalt,3-25-18,Public opinion,,Neutral
Nach Amoklauf: Trump trifft sich mit Videospiel-Branche,3-9-18,Politics,,Neutral
Waffenrecht in den USA: Wer ist die NRA - und warum ist sie so mächtig?,2-24-18,2nd Amendment,,Neutral
Massenprotest in den USA gegen Waffengewalt,3-24-18,Public opinion,,Neutral
Massenprotest gegen Waffengewalt bewegt USA,3-25-18,Public opinion,,Neutral
"Nach Schulmassaker in Parkland: Massenprotest in USA gegen Waffengewalt: ""Genug ist genug""",3-25-18,Public opinion,,Neutral
Massenprotest in den USA gegen Waffengewalt,3-24-18,Public opinion,,Neutral
20:38 Massenprotest in den USA gegen Waffengewalt,3-24-18,Public opinion,,Neutral
Washington - Knapp sechs Wochen nach dem Schulmassaker von Parkland haben in den USA Hunderttausende überwiegend junge Leute für striktere Waffengesetze demonstriert.,3-24-18,Public opinion,,Neutral
Hunderttausende mobilisiert Massenprotest gegen Waffengewalt bewegt USA,3-25-18,Public opinion,,Neutral
Schüler-Proteste gegen Waffengewalt in den USA,3-14-18,Public opinion,,Neutral
Einlenken nach Florida-Massaker: Trump zu Korrekturen des Waffenrechts bereit,2-21-18,Politics,,Neutral
Schärfere Waffengesetze? Melania Trump unterstützt jugendliche Demonstranten,2-27-18,Politics,,Neutral
Massenproteste: Hunderttausende marschieren gegen Waffengewalt in den USA,3-25-18,Public opinion,,Neutral
Massenprotest in USA gegen Waffengewalt: «Genug ist genug»,3-24-18,Public opinion,,Neutral
Emotionaler Protest gegen Waffengewalt in den USA | Neue Presse Coburg,3-14-18,Public opinion,,Neutral
Genug ist genug - Massenprotest in den USA gegen Waffengewalt,3-25-18,Public opinion,,Neutral
Waffenrecht verschärfen? Längst überfällig in den USA,2-21-18,2nd Amendment,,Neutral
Massenprotest gegen Waffengewalt bewegt USA,3-25-18,Public opinion,,Neutral
"USA Schüler demonstrieren für strengere Waffengesetze - und werden bedroht, ausgelacht und bestraft",3-16-18,Gun control/regulation,,Neutral
Nach Schul-Amoklauf: Trump bekräftigt Ziel der Bewaffnung mancher Lehrer,2-22-18,School/Public space safety,,Neutral
Rund 100 demonstrieren gegen Waffengewalt in den USA,3-24-18,Public opinion,,Neutral
Hunderttausende demonstrieren in den USA gegen die Waffengewalt,3-24-18,Public opinion,,Neutral
Schüler in den USA demonstrieren für schärferes Waffenrecht,2-21-18,Public opinion,,Neutral
Massenprotest in USA gegen Waffengewalt: «Genug ist genug»,3-24-18,Public opinion,,Neutral
ROUNDUP: Trump will Waffenrecht verschärfen,3-1-18,Politics,,Neutral
ROUNDUP: Trump will Waffenrecht verschärfen,3-1-18,Politics,,Neutral
150 Menschen protestieren gegen Waffengewalt in den USA,3-24-18,Public opinion,,Neutral
Einlenken nach Florida-Massaker: Trump zu Korrekturen des Waffenrechts bereit,2-21-18,Politics,,Neutral
Themen des Tages: Massenprotest in USA gegen Waffengewalt: «Genug ist genug»,3-24-18,Public opinion,,Neutral
ROUNDUP: Trump will Waffenrecht verschärfen,3-1-18,Politics,,Neutral
Hunderttausende auf der Straße: Schüler protestieren gegen die Waffengewalt in den USA,3-25-18,Public opinion,,Neutral
«Genug ist genug» - Massenprotest in den USA gegen Waffengewalt,3-25-18,Public opinion,,Neutral
Massenprotest gegen Waffengewalt bewegt USA,3-25-18,Public opinion,,Neutral
Einlenken nach Florida-Massaker: Trump zu Korrekturen des Waffenrechts bereit,2-21-18,Politics,,Neutral
Schülerproteste in den USA gegen Schusswaffengewalt,3-14-18,Public opinion,,Neutral
Massenprotest gegen Waffengewalt bewegt USA,3-25-18,Public opinion,,Neutral
Einlenken nach Florida-Massaker: Trump zu Korrekturen des Waffenrechts bereit,2-21-18,Politics,,Neutral
«Genug ist genug» - Massenprotest in den USA gegen Waffengewalt | Neue Presse Coburg,3-25-18,Public opinion,,Neutral
Amoklauf in Florida: Trump trifft Schüler und Lehrer,2-21-18,Politics,,Neutral
Siegener Zeitung :: brennpunkte :: Hunderttausende marschieren gegen Waffengewalt in den USA,3-25-18,Public opinion,,Neutral
US-Waffengesetze Nach Massaker in Florida: Höhere Altersgrenze bei Waffenkauf Der Kampf für schärfere Waffengesetze in den USA setzt sich fort – nicht zuletzt wegen eines neuerlichen tödlichen Zwischenfalls.  mehr,3-8-18,Gun control/regulation,,Neutral
Hunderttausende protestieren in den USA gegen Waffengewalt,3-25-18,Public opinion,,Neutral
Massenprotest gegen Waffengewalt bewegt USA,3-25-18,Public opinion,,Neutral
Hunderttausende demonstrieren in den USA für schärferes Waffenrecht,3-25-18,Public opinion,,Neutral
Schüler in den USA demonstrieren für schärferes Waffenrecht,2-22-18,Public opinion,,Neutral
Nach Amoklauf in Florida: Trump offen für bessere Überprüfung ...,2-20-18,Politics,,Neutral
Kein schärferes Waffenrecht: So will Trump stattdessen Schüsse an Schulen verhindern,2-22-18,School/Public space safety,,Neutral
Massenprotest gegen Waffengewalt bewegt USA,3-25-18,Public opinion,,Neutral
USA: Florida kommt Verschärfung des Waffenrechts näher,3-8-18,Gun control/regulation,,Neutral
Einlenken nach Florida-Massaker: Trump zu Korrekturen des Waffenrechts bereit,2-21-18,Politics,,Neutral
International: Massenprotest gegen Waffengewalt bewegt USA,3-25-18,Public opinion,,Neutral
Emotionaler Protest gegen Waffengewalt in den USA,3-14-18,Public opinion,,Neutral
Schülerproteste in den USA gegen Schusswaffengewalt,3-14-18,Public opinion,,Neutral
Massenprotest gegen Waffengewalt bewegt USA,3-25-18,Public opinion,,Neutral
Debatte nach Amoklauf in Florida - Trump rückt das FBI in den Fokus,2-19-18,Politics,,Neutral
Donald Trump: Waffenrecht in den USA soll verschärft werden,2-28-18,Politics,,Neutral
Massenprotest gegen Waffengewalt in den USA,3-24-18,Public opinion,,Neutral
Kein schärferes Waffenrecht: So will Trump stattdessen Schüsse an Schulen verhindern,2-22-18,School/Public space safety,,Neutral
Massakers in Parkland geben keine Ruhe. Ihrem Protest gegen Waffengewalt schließen sich Hunderttausende in den USA an. Weltweit gibt es Solidarität. Mehr als einen Monat nach dem Schulmassaker in Florida versammeln,3-25-18,Public opinion,,Neutral
"Signale an die Kritiker der lockeren Waffengesetze. Demonstration vor dem Weißen Haus 19.02.2018, USA, Washington: Demonstranten protestieren vor dem Weißen Haus während eines so genannten «lie-in» (hinlegen)",2-21-18,Public opinion,,Neutral
Umfrage - Zwei Drittel der Amerikaner wollen striktere Waffengesetze,2-21-18,Economic consequences,,Neutral
Kein schärferes Waffenrecht: So will Trump stattdessen Schüsse an Schulen verhindern,2-22-18,School/Public space safety,,Neutral
Hunderttausende demonstrieren in den USA gegen die Waffengewalt,3-25-18,Public opinion,,Neutral
Einlenken nach Florida-Massaker: Trump zu Korrekturen des Waffenrechts bereit,2-21-18,Politics,,Neutral
+++ US-Politik im News-Ticker +++ - Donald Trump rudert bei schärferen Waffengesetzen zurück,3-12-18,Politics,,Neutral
Waffengesetze - „March for Our Lives': Massendemo gegen Waffen in den USA - Politik - derwesten.de,3-24-18,Gun control/regulation,,Neutral
Trump rückt von Forderung nach schärferem Waffenrecht ab Washington (dpa) - US-Präsident Donald Trump ist in der Diskussion um eine Verschärfung der Waffenge…,3-12-18,Politics,,Neutral
Hunderttausende demonstrieren in den USA gegen die Waffengewalt,3-24-18,Public opinion,,Neutral
Diskussion um Waffenrecht in den USA: Der Aufstand der Schüler für strengere Waffengesetze,2-22-18,Gun control/regulation,,Neutral
Schüler in den USA demonstrieren für schärferes Waffenrecht | Top-Themen | Deutschland & Welt | DIE HARKE,2-22-18,Public opinion,,Neutral
